java.util.LinkedHashSet	count=220	duplicates=219
java.util.TreeMap	count=217	duplicates=216
android.telephony.TelephonyManager#getNetworkOperator	count=216	duplicates=215
java.io.BufferedInputStream	count=215	duplicates=214
android.provider.Settings$System	count=212	duplicates=211
android.app.ListActivity	count=210	duplicates=209
android.webkit.WebViewClient#<init>	count=207	duplicates=206
android.net.Uri#fromFile	count=204	duplicates=203
java.lang.reflect.Array	count=203	duplicates=202
android.net.NetworkInfo#getExtraInfo	count=202	duplicates=201
android.hardware.SensorManager	count=198	duplicates=197
android.net.ConnectivityManager#getNetworkInfo	count=198	duplicates=197
java.util.Queue	count=198	duplicates=197
java.util.ListIterator	count=198	duplicates=197
java.net.URI	count=196	duplicates=195
java.lang.reflect.Field	count=194	duplicates=193
java.util.TreeSet	count=193	duplicates=192
android.net.NetworkInfo#isAvailable	count=192	duplicates=191
java.nio.ByteBuffer	count=192	duplicates=191
android.preference.EditTextPreference	count=192	duplicates=191
java.util.concurrent.CountDownLatch	count=190	duplicates=189
android.content.ComponentName	count=187	duplicates=186
java.lang.NullPointerException	count=185	duplicates=184
java.util.Collection	count=184	duplicates=183
java.lang.InterruptedException	count=184	duplicates=183
android.webkit.WebView#setBackgroundColor	count=183	duplicates=182
android.telephony.TelephonyManager#getSimSerialNumber	count=182	duplicates=181
java.math.BigDecimal	count=175	duplicates=174
android.location.LocationManager#getLastKnownLocation	count=169	duplicates=168
android.webkit.WebView#setWebViewClient	count=168	duplicates=167
android.app.Dialog	count=168	duplicates=167
android.app.Application	count=164	duplicates=163
java.util.Calendar	count=156	duplicates=155
android.net.Uri$Builder#build	count=154	duplicates=153
android.net.Uri#buildUpon	count=154	duplicates=153
android.net.Uri$Builder#appendQueryParameter	count=153	duplicates=152
java.io.FileReader	count=147	duplicates=146
android.database.sqlite.SQLiteOpenHelper	count=146	duplicates=145
java.lang.UnsupportedOperationException	count=146	duplicates=145
java.io.BufferedOutputStream	count=144	duplicates=143
android.content.DialogInterface	count=141	duplicates=140
android.telephony.TelephonyManager#getCellLocation	count=141	duplicates=140
android.telephony.TelephonyManager#getSubscriberId	count=139	duplicates=138
android.webkit.WebChromeClient#<init>	count=138	duplicates=137
android.preference.ListPreference	count=133	duplicates=132
java.net.JarURLConnection	count=132	duplicates=131
android.atools.bootstartsetting.a	count=130	duplicates=129
android.database.sqlite.SQLiteException	count=129	duplicates=128
android.appwidget.AppWidgetProvider	count=127	duplicates=126
android.telephony.TelephonyManager#getLine1Number	count=126	duplicates=125
android.location.Location#getTime	count=124	duplicates=123
android.webkit.WebView#setWebChromeClient	count=119	duplicates=118
java.net.InetAddress	count=119	duplicates=118
android.webkit.WebView#getContext	count=118	duplicates=117
android.telephony.gsm.GsmCellLocation#getLac	count=118	duplicates=117
android.telephony.gsm.GsmCellLocation#getCid	count=118	duplicates=117
java.nio.FloatBuffer	count=118	duplicates=117
java.lang.Throwable	count=115	duplicates=114
android.webkit.WebView#addJavascriptInterface	count=110	duplicates=109
android.webkit.WebView#goBack	count=109	duplicates=108
android.webkit.WebSettings#setAllowFileAccess	count=108	duplicates=107
java.lang.reflect.ParameterizedType	count=108	duplicates=107
java.io.FileWriter	count=107	duplicates=106
android.content.ActivityNotFoundException	count=106	duplicates=105
java.lang.Error	count=105	duplicates=104
android.webkit.WebSettings#setBuiltInZoomControls	count=105	duplicates=104
android.preference.Preference	count=105	duplicates=104
java.net.MalformedURLException	count=102	duplicates=101
android.content.pm.ApplicationInfo	count=102	duplicates=101
android.webkit.WebChromeClient#onReceivedTitle	count=101	duplicates=100
android.webkit.WebView#setLayoutParams	count=100	duplicates=99
android.app.ActivityManager	count=100	duplicates=99
android.webkit.WebView#goForward	count=99	duplicates=98
java.net.URISyntaxException	count=99	duplicates=98
android.webkit.WebView#setId	count=97	duplicates=96
android.app.TabActivity	count=97	duplicates=96
android.webkit.WebSettings#setDefaultTextEncodingName	count=96	duplicates=95
java.net.NetworkInterface	count=96	duplicates=95
android.util.FloatMath	count=94	duplicates=93
android.webkit.WebChromeClient#onProgressChanged	count=94	duplicates=93
android.content.pm.PackageManager$NameNotFoundException	count=94	duplicates=93
android.webkit.WebView#canGoBack	count=93	duplicates=92
android.location.Location#getAccuracy	count=93	duplicates=92
java.io.StringWriter	count=91	duplicates=90
android.net.wifi.WifiManager#isWifiEnabled	count=90	duplicates=89
android.net.wifi.WifiManager#getConnectionInfo	count=90	duplicates=89
java.net.ServerSocket	count=89	duplicates=88
android.preference.PreferenceScreen	count=86	duplicates=85
android.text.TextPaint	count=83	duplicates=82
android.appwidget.AppWidgetManager	count=83	duplicates=82
android.net.Uri#getPath	count=82	duplicates=81
android.location.LocationManager#getBestProvider	count=80	duplicates=79
android.webkit.WebView#canGoForward	count=79	duplicates=78
android.location.Criteria#<init>	count=79	duplicates=78
java.lang.IndexOutOfBoundsException	count=78	duplicates=77
java.text.DateFormat	count=78	duplicates=77
android.content.res.AssetFileDescriptor	count=77	duplicates=76
java.lang.CloneNotSupportedException	count=76	duplicates=75
android.preference.PreferenceCategory	count=76	duplicates=75
java.lang.ProcessBuilder	count=76	duplicates=75
android.webkit.WebChromeClient#onGeolocationPermissionsHidePrompt	count=75	duplicates=74
android.webkit.WebChromeClient#onGeolocationPermissionsShowPrompt	count=75	duplicates=74
android.webkit.GeolocationPermissions$Callback#invoke	count=75	duplicates=74
android.webkit.WebSettings#setGeolocationEnabled	count=75	duplicates=74
java.util.zip.ZipOutputStream	count=75	duplicates=74
java.util.zip.ZipFile	count=75	duplicates=74
android.telephony.TelephonyManager#getNetworkOperatorName	count=74	duplicates=73
java.io.Reader	count=74	duplicates=73
java.lang.Number	count=73	duplicates=72
android.webkit.WebSettings#setSupportZoom	count=72	duplicates=71
java.lang.Runnable	count=72	duplicates=71
android.atools.bootstartsetting.ab	count=72	duplicates=71
java.lang.SecurityException	count=71	duplicates=70
android.location.Criteria#setAccuracy	count=67	duplicates=66
android.location.Criteria#setCostAllowed	count=66	duplicates=65
java.text.ParseException	count=65	duplicates=64
java.util.zip.ZipEntry	count=65	duplicates=64
android.provider.Settings$Secure	count=63	duplicates=62
java.nio.ByteOrder	count=62	duplicates=61
android.media.AudioManager	count=59	duplicates=58
android.location.LocationManager#requestLocationUpdates	count=57	duplicates=56
android.webkit.WebView#loadDataWithBaseURL	count=56	duplicates=55
java.nio.CharBuffer	count=55	duplicates=54
android.location.LocationManager#removeUpdates	count=55	duplicates=54
android.webkit.WebSettings#setJavaScriptCanOpenWindowsAutomatically	count=54	duplicates=53
android.util.TypedValue	count=54	duplicates=53
java.lang.ClassNotFoundException	count=51	duplicates=50
java.io.FileNotFoundException	count=51	duplicates=50
android.webkit.WebViewClient#onPageFinished	count=50	duplicates=49
android.net.wifi.WifiInfo#getIpAddress	count=48	duplicates=47
android.provider.Browser	count=48	duplicates=47
java.security.NoSuchAlgorithmException	count=47	duplicates=46
android.atools.bootstartsetting.AppSettingActivity	count=46	duplicates=45
android.net.wifi.WifiManager#getScanResults	count=45	duplicates=44
java.nio.charset.CharsetDecoder	count=44	duplicates=43
android.webkit.WebView#setVisibility	count=44	duplicates=43
java.security.KeyFactory	count=44	duplicates=43
java.lang.Byte	count=43	duplicates=42
android.net.NetworkInfo#getTypeName	count=42	duplicates=41
android.net.wifi.WifiInfo#getMacAddress	count=42	duplicates=41
java.util.concurrent.Executors	count=42	duplicates=41
java.lang.reflect.GenericArrayType	count=42	duplicates=41
android.webkit.CookieManager#getInstance	count=41	duplicates=40
java.text.DecimalFormat	count=40	duplicates=39
android.database.sqlite.SQLiteQueryBuilder	count=40	duplicates=39
android.webkit.WebView#stopLoading	count=39	duplicates=38
android.webkit.WebViewClient#onPageStarted	count=38	duplicates=37
android.webkit.JsResult#confirm	count=38	duplicates=37
android.webkit.WebSettings#setUseWideViewPort	count=36	duplicates=35
java.util.PriorityQueue	count=36	duplicates=35
java.nio.ShortBuffer	count=36	duplicates=35
java.util.concurrent.Semaphore	count=36	duplicates=35
java.util.jar.JarEntry	count=33	duplicates=32
android.app.SearchManager	count=33	duplicates=32
java.util.ListResourceBundle	count=33	duplicates=32
android.media.MediaPlayer$OnErrorListener	count=33	duplicates=32
java.security.InvalidKeyException	count=33	duplicates=32
java.io.StreamCorruptedException	count=32	duplicates=31
java.util.UUID	count=32	duplicates=31
java.text.Collator	count=32	duplicates=31
android.content.res.TypedArray	count=31	duplicates=30
android.telephony.TelephonyManager#getPhoneType	count=31	duplicates=30
android.webkit.CookieManager#setAcceptCookie	count=30	duplicates=29
android.webkit.WebSettings#setCacheMode	count=30	duplicates=29
java.util.zip.GZIPOutputStream	count=30	duplicates=29
java.text.CharacterIterator	count=30	duplicates=29
android.atools.bootstartsetting.p	count=30	duplicates=29
android.webkit.WebView#clearCache	count=28	duplicates=27
android.webkit.WebView#onMeasure	count=28	duplicates=27
android.webkit.WebChromeClient#onReceivedIcon	count=26	duplicates=25
android.atools.bootstartsetting.u	count=26	duplicates=25
android.location.Criteria#setAltitudeRequired	count=25	duplicates=24
android.location.Criteria#setBearingRequired	count=25	duplicates=24
android.location.Criteria#setPowerRequirement	count=25	duplicates=24
android.net.Uri#getHost	count=25	duplicates=24
android.net.Uri#decode	count=25	duplicates=24
java.util.logging.Logger	count=24	duplicates=23
android.atools.bootstartsetting.aa	count=24	duplicates=23
android.net.NetworkInfo#getSubtypeName	count=23	duplicates=22
android.location.LocationManager#isProviderEnabled	count=23	duplicates=22
android.net.Uri#fromParts	count=23	duplicates=22
android.webkit.WebChromeClient#onJsPrompt	count=22	duplicates=21
android.webkit.WebView#requestFocusFromTouch	count=22	duplicates=21
android.webkit.WebSettings#setLightTouchEnabled	count=22	duplicates=21
java.util.jar.JarFile	count=22	duplicates=21
android.webkit.URLUtil#isHttpsUrl	count=22	duplicates=21
android.media.MediaPlayer$OnCompletionListener	count=22	duplicates=21
android.webkit.WebChromeClient$CustomViewCallback#onCustomViewHidden	count=22	duplicates=21
android.webkit.WebStorage$QuotaUpdater#updateQuota	count=22	duplicates=21
android.atools.bootstartsetting.q	count=22	duplicates=21
android.net.Uri#encode	count=21	duplicates=20
java.io.StringReader	count=21	duplicates=20
